Sucursal 1,Sucursal 2,Sucursal 3,Sucursal 4,Sucursal 5,Sucursal 6,Sucursal 7,Sucursal 8,Sucursal 9,Sucursal 10,Sucursal 11,Sucursal 12,Sucursal 13,Sucursal 14,Sucursal 15,Sucursal 16,Sucursal 17,Sucursal 18,Sucursal 19,Sucursal 20,Sucursal 21,Sucursal 22,Sucursal 23,Sucursal 24,Sucursal 25,Sucursal 26,Sucursal 27,Sucursal 28,Sucursal 29,Sucursal 30,Sucursal 31,Sucursal 32,Sucursal 33,Sucursal 34,Sucursal 35,Sucursal 36,Sucursal 37,Sucursal 38,Sucursal 39,Sucursal 40,Sucursal 41,Sucursal 42,Sucursal 43,Sucursal 44,Sucursal 45,Sucursal 46,Sucursal 47,Sucursal 48,Sucursal 49
1,0,0,20,18,15,0,0,0,1,6,80,164,4,2,97,4,2,0,3,9,2,0,11,2,3,1,6,3,2,3,3,1,6,3,19,5,52,1,3,1,2,1,3,5,5,0,15,8
0,0,1,1,1,13,0,0,0,3,8,3,27,6,8,94,2,3,0,7,16,1,0,3,5,11,2,11,4,3,8,2,3,11,1,4,3,3,0,1,1,0,7,3,4,9,0,4,0
0,0,0,1,2,24,1,0,0,4,3,5,24,12,5,67,1,1,1,5,0,2,0,8,3,1,3,9,0,1,5,2,3,12,1,0,1,1,0,0,0,0,12,14,11,8,1,0,2
3,9,0,30,0,12,0,0,0,5,57,70,26,4,3,97,1,8,0,1,0,0,0,0,2,0,8,0,6,6,4,0,6,0,1,1,2,4,2,1,1,0,3,14,1,10,0,0,0
2,0,0,1,2,9,0,1,0,15,42,48,0,2,2,97,5,0,1,0,0,0,0,6,7,1,0,3,17,8,2,1,11,1,0,0,0,1,0,0,0,0,2,5,0,2,1,0,1
4,1,0,5,13,9,1,0,0,8,67,58,112,9,1,95,1,6,1,1,1,2,0,39,1,10,0,16,30,43,9,9,0,3,1,19,0,3,1,3,1,0,0,1,30,55,1,6,0
3,4,0,4,0,7,1,2,0,0,13,34,2,3,0,54,0,20,2,0,0,0,0,47,1,18,3,44,54,32,9,5,18,12,3,22,1,3,3,0,5,2,4,11,2,50,1,20,1
7,1,0,2,2,2,0,0,0,3,34,46,1,0,13,13,1,15,2,1,0,0,1,51,0,70,4,24,25,50,24,2,5,14,7,82,0,1,0,2,7,2,0,7,2,38,1,2,1
5,5,0,9,1,3,0,0,0,14,47,62,56,0,27,79,0,23,2,0,1,0,1,58,0,28,0,67,97,32,44,3,44,10,23,24,3,3,0,0,0,1,2,20,46,41,1,31,21
2,0,1,4,0,2,0,0,0,1,7,83,1,5,25,77,1,8,0,1,2,1,0,63,0,35,0,64,58,99,46,6,51,8,14,27,1,3,1,1,1,3,0,1,24,17,0,31,25
